Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
10-Jul-25,Thursday,July,2025,Q3,EQ,893.90,907.70,887.00,890.15,890.00,891.05,895.94,1348.00,588.00,1367248.00,33294.00
09-Jul-25,Wednesday,July,2025,Q3,EQ,886.70,904.50,885.55,881.25,891.85,890.15,892.56,1348.00,588.00,3094384.00,50275.00
08-Jul-25,Tuesday,July,2025,Q3,EQ,886.00,892.50,876.00,883.35,880.90,881.25,881.67,1348.00,588.00,2733928.00,45180.00
07-Jul-25,Monday,July,2025,Q3,EQ,876.00,887.55,871.05,877.20,882.45,883.35,880.53,1348.00,588.00,3740997.00,55093.00
04-Jul-25,Friday,July,2025,Q3,EQ,875.80,884.00,867.15,875.25,876.05,877.20,874.70,1348.00,588.00,4081958.00,59813.00
03-Jul-25,Thursday,July,2025,Q3,EQ,878.85,882.15,867.55,878.80,876.00,875.25,872.55,1348.00,588.00,3905266.00,48591.00
02-Jul-25,Wednesday,July,2025,Q3,EQ,876.00,888.85,869.40,872.40,877.85,878.80,877.86,1348.00,588.00,2946152.00,54919.00
01-Jul-25,Tuesday,July,2025,Q3,EQ,884.00,892.30,871.00,881.75,872.60,872.40,876.20,1348.00,588.00,1874380.00,39090.00
30-Jun-25,Monday,June,2025,Q2,EQ,886.00,887.45,874.70,883.70,882.00,881.75,880.26,1348.00,588.00,1673237.00,45219.00
27-Jun-25,Friday,June,2025,Q2,EQ,865.00,900.85,863.00,864.75,883.00,883.70,888.93,1348.00,588.00,3118143.00,76086.00
26-Jun-25,Thursday,June,2025,Q2,EQ,854.25,866.50,851.00,850.20,863.00,864.75,858.15,1348.00,588.00,2717149.00,49949.00
25-Jun-25,Wednesday,June,2025,Q2,EQ,856.35,863.70,847.05,851.85,852.00,850.20,851.30,1348.00,588.00,2316935.00,42832.00
24-Jun-25,Tuesday,June,2025,Q2,EQ,852.00,866.60,848.00,837.20,851.00,851.85,856.58,1348.00,588.00,1922183.00,45575.00
23-Jun-25,Monday,June,2025,Q2,EQ,817.95,842.55,817.80,828.10,836.70,837.20,835.01,1348.00,588.00,1079104.00,28146.00
20-Jun-25,Friday,June,2025,Q2,EQ,826.00,840.90,823.35,823.60,834.40,828.10,828.83,1348.00,588.00,6345674.00,75053.00
19-Jun-25,Thursday,June,2025,Q2,EQ,845.00,849.05,818.00,846.45,822.00,823.60,829.98,1348.00,588.00,1666745.00,38747.00
18-Jun-25,Wednesday,June,2025,Q2,EQ,848.95,858.55,834.60,848.85,842.45,846.45,844.49,1348.00,588.00,1943400.00,30436.00
17-Jun-25,Tuesday,June,2025,Q2,EQ,866.00,867.35,846.05,865.70,848.95,848.85,853.45,1348.00,588.00,1247192.00,30485.00
16-Jun-25,Monday,June,2025,Q2,EQ,861.00,871.00,849.45,861.00,864.95,865.70,863.18,1348.00,588.00,2424281.00,41334.00
13-Jun-25,Friday,June,2025,Q2,EQ,860.00,871.75,851.70,876.95,862.75,861.00,861.70,1348.00,588.00,4262332.00,68241.00
12-Jun-25,Thursday,June,2025,Q2,EQ,908.40,909.95,868.05,904.50,870.55,876.95,894.20,1348.00,588.00,3852260.00,63755.00
11-Jun-25,Wednesday,June,2025,Q2,EQ,919.85,924.35,895.00,915.50,909.00,904.50,909.61,1348.00,588.00,5473555.00,67801.00
10-Jun-25,Tuesday,June,2025,Q2,EQ,907.15,921.00,896.45,901.40,916.05,915.50,910.37,1348.00,588.00,8134942.00,95612.00
09-Jun-25,Monday,June,2025,Q2,EQ,888.50,908.40,876.00,884.10,901.00,901.40,899.57,1348.00,588.00,6802393.00,88317.00
06-Jun-25,Friday,June,2025,Q2,EQ,875.65,892.50,872.45,872.20,884.70,884.10,884.75,1348.00,588.00,6679702.00,92628.00
05-Jun-25,Thursday,June,2025,Q2,EQ,869.95,883.00,864.05,866.00,873.95,872.20,872.91,1348.00,588.00,5723306.00,86177.00
04-Jun-25,Wednesday,June,2025,Q2,EQ,860.50,873.50,851.55,856.55,865.50,866.00,864.11,1348.00,588.00,5947467.00,85304.00
03-Jun-25,Tuesday,June,2025,Q2,EQ,876.55,877.75,854.00,874.85,856.30,856.55,859.29,1348.00,588.00,5811649.00,101456.00
02-Jun-25,Monday,June,2025,Q2,EQ,874.80,888.20,872.05,867.20,876.50,874.85,877.51,1348.00,588.00,1911879.00,44466.00
30-May-25,Friday,May,2025,Q2,EQ,881.05,889.45,862.00,880.95,867.80,867.20,870.16,1348.00,588.00,1258500.00,36697.00
29-May-25,Thursday,May,2025,Q2,EQ,877.70,898.20,869.40,869.00,882.00,880.95,883.50,1348.00,588.00,2045238.00,66332.00
28-May-25,Wednesday,May,2025,Q2,EQ,881.80,890.85,865.75,879.15,868.00,869.00,879.58,1348.00,588.00,990253.00,28147.00
27-May-25,Tuesday,May,2025,Q2,EQ,880.00,890.40,874.25,878.70,882.00,879.15,880.42,1348.00,588.00,1772369.00,36707.00
26-May-25,Monday,May,2025,Q2,EQ,877.95,891.00,875.90,876.55,877.75,878.70,883.02,1348.00,588.00,966027.00,27184.00
23-May-25,Friday,May,2025,Q2,EQ,884.50,884.50,871.10,879.00,875.80,876.55,878.07,1348.00,588.00,816889.00,24404.00
22-May-25,Thursday,May,2025,Q2,EQ,869.00,886.40,864.35,872.15,880.35,879.00,875.83,1348.00,588.00,1121955.00,44530.00
21-May-25,Wednesday,May,2025,Q2,EQ,869.90,881.00,860.50,869.75,875.05,872.15,871.16,1348.00,588.00,1239047.00,39748.00
20-May-25,Tuesday,May,2025,Q2,EQ,894.45,897.55,866.55,888.90,871.45,869.75,881.14,1348.00,588.00,1301836.00,41364.00
19-May-25,Monday,May,2025,Q2,EQ,920.00,920.80,886.00,915.05,890.00,888.90,897.18,1348.00,588.00,2120510.00,48912.00
16-May-25,Friday,May,2025,Q2,EQ,912.10,934.75,908.05,910.80,913.10,915.05,921.23,1348.00,588.00,2288025.00,51755.00
15-May-25,Thursday,May,2025,Q2,EQ,894.95,913.55,884.05,890.80,909.55,910.80,899.62,1348.00,588.00,1755815.00,41612.00
